Cidade,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020
Natal,1,1,1,1,1,1,1,1,6,9,13,13,14,19,28,22,35,38,44,50,59,82,96,115,117,120,124,124,125,137,141,151,165,177,178,210,241,259,284,288,309,340,366,378,405,404,411,529,573,637,674,685,694,718,735,810,837,881,880,914,915,1033
Parnamirim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,10,10,11,13,17,24,26,28,28,30,30,32,31,33,39,41,43,43,57,61,66,67,70,73,81,93,93,94,94,97,107,116,123,133,136,137,140,146,152,161,174,175,181,175,195
Macaíba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,4,6,6,6,6,8,10,10,10,11,11,10,11,15,15,16,15,17,16,16,16,19,20,19,21,25,26,26,31,30,31
Monte Alegre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,5,6,6,7,7,7,7,8,8,8,8,8,8
Mossoró,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,16,17,20,21,43,53,58,59,63,63,63,63,65,67,77,82,84,84,89,92,94,104,105,106,106,110,111,112,112,117,164,174,184,190,191,197,254,248,281,288,296,299,293,335,419
Passa e Fica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Açu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,6,6,7,8,8,8,8,8,8,8,10,11,13,13,16,18,19,19,20,24,24,25,29,29,29,31,35,35,42,42,42,42,42,46,49,52,55,55,54,56,60
Caicó,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,5,5,8
Tibau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,5,5,5,10,9,9
São Gonçalo do Amarante,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,9,11,11,10,11,11,11,11,19,20,22,25,26,26,28,30,33,32,33,34,39,39,41,42,42,42,44,47,52,53,53,55,61,56,62,64,68,68,71,69,80
São José de Mipibu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,2,2,2,4,4,4,4,5,5,5,5,8,8,8,9,12,14,18,19,19,19,21,24,24,26,26,26,27,29
Apodi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,5,5,5,5,5,5,5,7,7,7,7,7,8,11,11,15,15,21,22,22,22,36,36,35,37,37,38,54,48,67
Carnaubais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Luís Gomes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ceará-Mirim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,2,3,3,3,5,5,5,5,7,7,7,7,8,9,10,10,10,10,11,11,12,12,12,12,12,12,13,14,14,15,15,13,12,14
Baía Formosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Caraúbas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,4,4,4,5,6,6,6,4,4,5
Extremoz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,5,5,5,5,5,5,6,6,5,5,5,5,5,6,6,6,6,8,9,9,9,10,11,12,15,15,17,17,20,21,24,26,29,31,31,32,33,34
Santo Antônio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,3,3,3,4,4,5,5,5,5,6,6,6,6,6,6,8,8,9,9,9,9,9,10,10,11,11,11,10,10,10
Areia Branca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5,10,11,16,16,16,16,18,20,31,35,36,37,36,40,52
